ID,Ativo,Tipo_Ativo,Ação,Tensão_kV,Carga_kVA,Corrente_A,Temperatura_C,Delta_Temp,Tentativas,Duracao_Min,Resultado,Ambiente,Executor,Tipo_Falha,Sprint,Simulado
1,BA_93,Barramento,Teste funcional,14.51,1210.5,300.0,30.415865780908142,4.86,2,12.6,Sucesso,Offshore,Colin,,Sprint_12,False
2,RE_64,Relé,Sincronismo,12.94,522.8,300.0,21.937254936531993,3.27,1,12.9,Sucesso,Offshore,Desiree,,Sprint_19,False
3,BA_64,Barramento,Energização,13.98,645.4,300.0,31.99873074947044,1.43,2,15.8,Sucesso,Offshore,Ashley,,Sprint_8,True
4,DI_36,Disjuntor,Intertravamento,11.9,1127.6,300.0,48.8915652077622,2.26,1,13.6,Sucesso,Lab,Randy,,Sprint_4,False
5,BA_62,Barramento,Isolamento,11.58,584.0,300.0,32.696806145201066,3.17,2,16.2,Sucesso,Campo,Desiree,,Sprint_13,True
6,DI_88,Disjuntor,Energização,14.67,1066.3,300.0,39.47166165054381,1.2,1,12.3,Sucesso,Offshore,Carrie,,Sprint_8,False
7,DI_48,Disjuntor,Isolamento,15.02,1206.9,300.0,34.63994939209833,1.64,3,19.0,Sucesso,Campo,Lisa,,Sprint_7,True
8,RE_42,Relé,Sincronismo,11.67,1112.7,300.0,39.51766245312921,2.87,2,13.1,Sucesso,Campo,Jennifer,,Sprint_13,True
9,TR_86,Trafo,Sincronismo,15.17,898.6,300.0,32.351198981164806,8.98,1,11.5,Sucesso,Offshore,Erin,,Sprint_1,True
10,TR_62,Trafo,Energização,14.24,878.3,300.0,35.025567283212304,4.47,2,12.3,Sucesso,Lab,Ashley,,Sprint_15,True
11,DI_52,Disjuntor,Energização,13.78,791.8,300.0,39.089367561082824,7.27,2,9.8,Sucesso,Campo,Richard,,Sprint_2,False
12,SE_96,Seccionadora,Energização,15.95,1119.7,300.0,22.506204291806444,5.75,2,17.4,Sucesso,Offshore,Richard,,Sprint_6,False
13,BA_98,Barramento,Teste funcional,14.57,963.0,300.0,35.14049731674101,7.11,1,6.4,Sucesso,Offshore,Jennifer,,Sprint_19,False
14,TR_20,Trafo,Sincronismo,13.58,985.1,300.0,41.244703495699554,6.92,1,10.2,Sucesso,Offshore,Randy,,Sprint_3,True
15,RE_60,Relé,Energização,13.31,738.2,300.0,27.79979276158101,3.82,1,13.6,Sucesso,Lab,Sarah,,Sprint_20,True
16,BA_38,Barramento,Sincronismo,11.03,1150.6,300.0,30.073091014371563,5.11,1,6.7,Sucesso,Campo,Jennifer,,Sprint_1,True
17,SE_48,Seccionadora,Sincronismo,15.81,579.6,300.0,30.20052683943047,5.65,1,13.3,Sucesso,Offshore,Lisa,,Sprint_6,False
18,TR_54,Trafo,Teste funcional,10.9,545.8,300.0,41.822167236601594,8.71,2,16.5,Sucesso,Offshore,Jennifer,,Sprint_3,False
19,DI_44,Disjuntor,Sincronismo,11.13,727.1,300.0,36.63611693182933,9.55,2,14.5,Sucesso,Campo,Tyler,,Sprint_1,True
20,SE_85,Seccionadora,Energização,12.41,646.1,300.0,38.55054620181977,7.11,3,16.3,Sucesso,Offshore,Colin,,Sprint_10,False
21,DI_33,Disjuntor,Energização,12.36,1214.6,300.0,39.5256097997828,8.2,1,8.2,Sucesso,Lab,Erin,,Sprint_4,False
22,DI_8,Disjuntor,Sincronismo,11.46,1400.1,300.0,28.999341311349184,1.97,3,19.6,Sucesso,Lab,Richard,,Sprint_20,True
23,TR_60,Trafo,Isolamento,16.14,838.6,300.0,37.747881725313334,1.31,2,9.2,Sucesso,Lab,Desiree,,Sprint_3,False
24,BA_16,Barramento,Isolamento,13.64,654.1,300.0,42.96490897129732,2.88,1,15.7,Falha,Offshore,Carrie,Física,Sprint_1,True
25,DI_34,Disjuntor,Energização,11.91,1075.4,300.0,45.610780985063165,4.49,2,16.1,Sucesso,Offshore,Joseph,,Sprint_14,True
26,DI_94,Disjuntor,Sincronismo,14.85,980.0,300.0,32.59375933088247,6.67,1,3.7,Sucesso,Campo,Jennifer,,Sprint_2,True
27,RE_19,Relé,Intertravamento,18.58,825.2,300.0,39.86316433449396,9.47,1,14.6,Sucesso,Offshore,Kimberly,,Sprint_12,False
28,BA_33,Barramento,Energização,14.52,940.1,300.0,40.68508709316729,6.69,1,11.3,Sucesso,Campo,Ashley,,Sprint_14,True
29,TR_35,Trafo,Energização,12.07,1271.0,300.0,29.375241310835715,2.98,2,16.8,Sucesso,Lab,Philip,,Sprint_11,False
30,BA_89,Barramento,Isolamento,13.88,948.4,300.0,43.39152754911448,5.97,1,4.4,Sucesso,Lab,Richard,,Sprint_7,False
31,SE_12,Seccionadora,Energização,15.52,1057.4,300.0,31.86571065230923,5.58,2,9.0,Sucesso,Lab,Philip,,Sprint_19,False
32,BA_61,Barramento,Energização,13.18,1095.2,300.0,35.51784042221175,5.08,1,10.8,Sucesso,Campo,Joseph,,Sprint_3,False
